,image_id,strip_id,sensor_id,date,time,cloud_percent,item_type,image_geom,image_coords,image_area,aoi_coverage
144,20210117_154034_1035,4078221,PS2,1/17/2021,15:40:34,0,PSScene,"[[[-79.07044049140994, 34.92157950706874], [-79.0891989503192, 34.849728207794605], [-78.81628483263749, 34.8017874293947], [-78.79773375501193, 34.87389611423064], [-79.07044049140994, 34.92157950706874]]]","[[-79.07044049140994, 34.92157950706874], [-79.0891989503192, 34.849728207794605], [-78.81628483263749, 34.8017874293947], [-78.79773375501193, 34.87389611423064], [-79.07044049140994, 34.92157950706874]]","POLYGON ((-79.07044049140994 34.92157950706874, -79.0891989503192 34.849728207794605, -78.81628483263749 34.8017874293947, -78.79773375501193 34.87389611423064, -79.07044049140994 34.92157950706874))",100
145,20210116_160248_61_2274,4075720,PSB.SD,1/16/2021,16:02:48,0,PSScene,"[[[-78.80551567378647, 34.976511007410885], [-78.85462684671828, 34.7848275179072], [-78.46625137831089, 34.716946780715595], [-78.41642323945284, 34.90781227047053], [-78.80551567378647, 34.976511007410885]]]","[[-78.80551567378647, 34.976511007410885], [-78.85462684671828, 34.7848275179072], [-78.46625137831089, 34.716946780715595], [-78.41642323945284, 34.90781227047053], [-78.80551567378647, 34.976511007410885]]","POLYGON ((-78.80551567378647 34.976511007410885, -78.85462684671828 34.7848275179072, -78.46625137831089 34.716946780715595, -78.41642323945284 34.90781227047053, -78.80551567378647 34.976511007410885))",100
146,20210116_160333_38_2412,4075920,PSB.SD,1/16/2021,16:03:33,0,PSScene,"[[[-78.90113668185849, 34.97485844976179], [-78.95042722949815, 34.78285606108401], [-78.56203755760302, 34.714500430498795], [-78.51165832528264, 34.90557120279544], [-78.90113668185849, 34.97485844976179]]]","[[-78.90113668185849, 34.97485844976179], [-78.95042722949815, 34.78285606108401], [-78.56203755760302, 34.714500430498795], [-78.51165832528264, 34.90557120279544], [-78.90113668185849, 34.97485844976179]]","POLYGON ((-78.90113668185849 34.97485844976179, -78.95042722949815 34.78285606108401, -78.56203755760302 34.714500430498795, -78.51165832528264 34.90557120279544, -78.90113668185849 34.97485844976179))",100
147,20210115_153932_1009,4072944,PS2,1/15/2021,15:39:32,0,PSScene,"[[[-79.05911946465308, 34.88890744934275], [-79.07811666615461, 34.81595329700784], [-78.80381139491595, 34.767791090822094], [-78.78507401188523, 34.84088509322626], [-79.05911946465308, 34.88890744934275]]]","[[-79.05911946465308, 34.88890744934275], [-79.07811666615461, 34.81595329700784], [-78.80381139491595, 34.767791090822094], [-78.78507401188523, 34.84088509322626], [-79.05911946465308, 34.88890744934275]]","POLYGON ((-79.05911946465308 34.88890744934275, -79.07811666615461 34.81595329700784, -78.80381139491595 34.767791090822094, -78.78507401188523 34.84088509322626, -79.05911946465308 34.88890744934275))",100
148,20210113_160123_03_2406,4067881,PSB.SD,1/13/2021,16:01:23,0,PSScene,"[[[-78.84541820867126, 34.84243959525354], [-78.89257358687027, 34.65423950510764], [-78.5114167580998, 34.58922072677503], [-78.46357387763769, 34.77576247066214], [-78.84541820867126, 34.84243959525354]]]","[[-78.84541820867126, 34.84243959525354], [-78.89257358687027, 34.65423950510764], [-78.5114167580998, 34.58922072677503], [-78.46357387763769, 34.77576247066214], [-78.84541820867126, 34.84243959525354]]","POLYGON ((-78.84541820867126 34.84243959525354, -78.89257358687027 34.65423950510764, -78.5114167580998 34.58922072677503, -78.46357387763769 34.77576247066214, -78.84541820867126 34.84243959525354))",100
149,20210113_160120_74_2406,4067881,PSB.SD,1/13/2021,16:01:20,0,PSScene,"[[[-78.80934860586515, 34.98558395374223], [-78.85661681631795, 34.79739585011954], [-78.47481210207404, 34.732325677002244], [-78.42675464957188, 34.91877042210286], [-78.80934860586515, 34.98558395374223]]]","[[-78.80934860586515, 34.98558395374223], [-78.85661681631795, 34.79739585011954], [-78.47481210207404, 34.732325677002244], [-78.42675464957188, 34.91877042210286], [-78.80934860586515, 34.98558395374223]]","POLYGON ((-78.80934860586515 34.98558395374223, -78.85661681631795 34.79739585011954, -78.47481210207404 34.732325677002244, -78.42675464957188 34.91877042210286, -78.80934860586515 34.98558395374223))",100
150,20210113_154551_1026,4067805,PS2,1/13/2021,15:45:51,0,PSScene,"[[[-79.0116626619887, 34.89070487660176], [-79.02991747084496, 34.81862140467526], [-78.75857609441063, 34.77236782947498], [-78.74072555323718, 34.84415046708915], [-79.0116626619887, 34.89070487660176]]]","[[-79.0116626619887, 34.89070487660176], [-79.02991747084496, 34.81862140467526], [-78.75857609441063, 34.77236782947498], [-78.74072555323718, 34.84415046708915], [-79.0116626619887, 34.89070487660176]]","POLYGON ((-79.0116626619887 34.89070487660176, -79.02991747084496 34.81862140467526, -78.75857609441063 34.77236782947498, -78.74072555323718 34.84415046708915, -79.0116626619887 34.89070487660176))",100
151,20210110_154049_1008,4059396,PS2,1/10/2021,15:40:49,0,PSScene,"[[[-78.96893969941998, 34.87626615646425], [-78.98815112815399, 34.803248305192206], [-78.7126544815065, 34.75441031370747], [-78.69363546880005, 34.827721891232045], [-78.96893969941998, 34.87626615646425]]]","[[-78.96893969941998, 34.87626615646425], [-78.98815112815399, 34.803248305192206], [-78.7126544815065, 34.75441031370747], [-78.69363546880005, 34.827721891232045], [-78.96893969941998, 34.87626615646425]]","POLYGON ((-78.96893969941998 34.87626615646425, -78.98815112815399 34.803248305192206, -78.7126544815065 34.75441031370747, -78.69363546880005 34.827721891232045, -78.96893969941998 34.87626615646425))",100
152,20210109_151344_08_2212,4056570,PSB.SD,1/9/2021,15:13:44,0,PSScene,"[[[-79.03440390886443, 34.87666813920612], [-79.0793328018488, 34.70235770813017], [-78.72547909295896, 34.63934089731195], [-78.67945509623293, 34.81400011429409], [-79.03440390886443, 34.87666813920612]]]","[[-79.03440390886443, 34.87666813920612], [-79.0793328018488, 34.70235770813017], [-78.72547909295896, 34.63934089731195], [-78.67945509623293, 34.81400011429409], [-79.03440390886443, 34.87666813920612]]","POLYGON ((-79.03440390886443 34.87666813920612, -79.0793328018488 34.70235770813017, -78.72547909295896 34.63934089731195, -78.67945509623293 34.81400011429409, -79.03440390886443 34.87666813920612))",100
153,20210109_151341_87_2212,4056570,PSB.SD,1/9/2021,15:13:41,0,PSScene,"[[[-78.99791214420036, 35.01638016810316], [-79.04291269652626, 34.84214611052307], [-78.68848039222046, 34.77908339584451], [-78.64237388917334, 34.95372655274708], [-78.99791214420036, 35.01638016810316]]]","[[-78.99791214420036, 35.01638016810316], [-79.04291269652626, 34.84214611052307], [-78.68848039222046, 34.77908339584451], [-78.64237388917334, 34.95372655274708], [-78.99791214420036, 35.01638016810316]]","POLYGON ((-78.99791214420036 35.01638016810316, -79.04291269652626 34.84214611052307, -78.68848039222046 34.77908339584451, -78.64237388917334 34.95372655274708, -78.99791214420036 35.01638016810316))",100
