,image_id,strip_id,sensor_id,date,time,cloud_percent,item_type,image_geom,image_coords,image_area,aoi_coverage
51,20180209_155227_0f3c,1157402,PS2,2/9/2018,15:52:27,NA,PSScene,"[[[-79.02493939791187, 34.857495459442205], [-79.0079938443788, 34.7877287024873], [-78.74496438401599, 34.83164584377807], [-78.7622806085698, 34.90136223353218], [-79.02493939791187, 34.857495459442205]]]","[[-79.02493939791187, 34.857495459442205], [-79.0079938443788, 34.7877287024873], [-78.74496438401599, 34.83164584377807], [-78.7622806085698, 34.90136223353218], [-79.02493939791187, 34.857495459442205]]","POLYGON ((-79.02493939791187 34.857495459442205, -79.0079938443788 34.7877287024873, -78.74496438401599 34.83164584377807, -78.7622806085698 34.90136223353218, -79.02493939791187 34.857495459442205))",100
52,20180209_152234_1011,1158174,PS2,2/9/2018,15:22:34,NA,PSScene,"[[[-78.9810228595107, 34.92629834509312], [-79.00012384531773, 34.85384730163986], [-78.7278048286304, 34.80545677622367], [-78.70899966601488, 34.877952320834055], [-78.9810228595107, 34.92629834509312]]]","[[-78.9810228595107, 34.92629834509312], [-79.00012384531773, 34.85384730163986], [-78.7278048286304, 34.80545677622367], [-78.70899966601488, 34.877952320834055], [-78.9810228595107, 34.92629834509312]]","POLYGON ((-78.9810228595107 34.92629834509312, -79.00012384531773 34.85384730163986, -78.7278048286304 34.80545677622367, -78.70899966601488 34.877952320834055, -78.9810228595107 34.92629834509312))",100
53,20180205_155238_1_0f29,1144057,PS2,2/5/2018,15:52:38,NA,PSScene,"[[[-79.01411952690032, 34.84708844521047], [-78.9971562875711, 34.77758931219467], [-78.7351070320251, 34.82159341461844], [-78.75244919474042, 34.89107457401694], [-79.01411952690032, 34.84708844521047]]]","[[-79.01411952690032, 34.84708844521047], [-78.9971562875711, 34.77758931219467], [-78.7351070320251, 34.82159341461844], [-78.75244919474042, 34.89107457401694], [-79.01411952690032, 34.84708844521047]]","POLYGON ((-79.01411952690032 34.84708844521047, -78.9971562875711 34.77758931219467, -78.7351070320251 34.82159341461844, -78.75244919474042 34.89107457401694, -79.01411952690032 34.84708844521047))",100
54,20180205_152145_1044,1144920,PS2,2/5/2018,15:21:45,NA,PSScene,"[[[-78.82260305973335, 34.892693567012245], [-78.84152581143171, 34.82007464776604], [-78.5666516719614, 34.771754168901126], [-78.54805076399504, 34.8444112166596], [-78.82260305973335, 34.892693567012245]]]","[[-78.82260305973335, 34.892693567012245], [-78.84152581143171, 34.82007464776604], [-78.5666516719614, 34.771754168901126], [-78.54805076399504, 34.8444112166596], [-78.82260305973335, 34.892693567012245]]","POLYGON ((-78.82260305973335 34.892693567012245, -78.84152581143171 34.82007464776604, -78.5666516719614 34.771754168901126, -78.54805076399504 34.8444112166596, -78.82260305973335 34.892693567012245))",100
55,20180203_152118_0f18,1138627,PS2,2/3/2018,15:21:18,NA,PSScene,"[[[-78.83290463106592, 34.864483185338926], [-78.85198795060624, 34.79164048977916], [-78.5783871466991, 34.74332836087448], [-78.55967656903066, 34.81620525692183], [-78.83290463106592, 34.864483185338926]]]","[[-78.83290463106592, 34.864483185338926], [-78.85198795060624, 34.79164048977916], [-78.5783871466991, 34.74332836087448], [-78.55967656903066, 34.81620525692183], [-78.83290463106592, 34.864483185338926]]","POLYGON ((-78.83290463106592 34.864483185338926, -78.85198795060624 34.79164048977916, -78.5783871466991 34.74332836087448, -78.55967656903066 34.81620525692183, -78.83290463106592 34.864483185338926))",100
56,20180203_170754_0c59,1138217,PS2,2/3/2018,17:07:54,NA,PSScene,"[[[-78.88489642073796, 34.93571616631465], [-78.92956191469275, 34.904920988164704], [-78.80247476259609, 34.780664169888034], [-78.75812358152213, 34.81167871663462], [-78.88489642073796, 34.93571616631465]]]","[[-78.88489642073796, 34.93571616631465], [-78.92956191469275, 34.904920988164704], [-78.80247476259609, 34.780664169888034], [-78.75812358152213, 34.81167871663462], [-78.88489642073796, 34.93571616631465]]","POLYGON ((-78.88489642073796 34.93571616631465, -78.92956191469275 34.904920988164704, -78.80247476259609 34.780664169888034, -78.75812358152213 34.81167871663462, -78.88489642073796 34.93571616631465))",100
57,20180202_152145_1033,1135512,PS2,2/2/2018,15:21:45,NA,PSScene,"[[[-78.90636897042678, 34.87932184140592], [-78.92528738936943, 34.807155993838066], [-78.65003347716193, 34.75857610639925], [-78.63148579679638, 34.830786321177044], [-78.90636897042678, 34.87932184140592]]]","[[-78.90636897042678, 34.87932184140592], [-78.92528738936943, 34.807155993838066], [-78.65003347716193, 34.75857610639925], [-78.63148579679638, 34.830786321177044], [-78.90636897042678, 34.87932184140592]]","POLYGON ((-78.90636897042678 34.87932184140592, -78.92528738936943 34.807155993838066, -78.65003347716193 34.75857610639925, -78.63148579679638 34.830786321177044, -78.90636897042678 34.87932184140592))",100
58,20180201_175532_0c59,1132123,PS2,2/1/2018,17:55:32,NA,PSScene,"[[[-78.80684971100908, 34.85753849251991], [-78.85151012148451, 34.82668335994926], [-78.72438440614576, 34.70232805111159], [-78.68001115944195, 34.7333970680105], [-78.80684971100908, 34.85753849251991]]]","[[-78.80684971100908, 34.85753849251991], [-78.85151012148451, 34.82668335994926], [-78.72438440614576, 34.70232805111159], [-78.68001115944195, 34.7333970680105], [-78.80684971100908, 34.85753849251991]]","POLYGON ((-78.80684971100908 34.85753849251991, -78.85151012148451 34.82668335994926, -78.72438440614576 34.70232805111159, -78.68001115944195 34.7333970680105, -78.80684971100908 34.85753849251991))",100
59,20180201_152141_0f52,1132056,PS2,2/1/2018,15:21:41,NA,PSScene,"[[[-78.86358597007525, 34.869171331873], [-78.88256072503627, 34.79620303655922], [-78.60865822036706, 34.74811905189731], [-78.59001140870826, 34.821031118301], [-78.86358597007525, 34.869171331873]]]","[[-78.86358597007525, 34.869171331873], [-78.88256072503627, 34.79620303655922], [-78.60865822036706, 34.74811905189731], [-78.59001140870826, 34.821031118301], [-78.86358597007525, 34.869171331873]]","POLYGON ((-78.86358597007525 34.869171331873, -78.88256072503627 34.79620303655922, -78.60865822036706 34.74811905189731, -78.59001140870826 34.821031118301, -78.86358597007525 34.869171331873))",100
60,20180131_171301_0c24,1128794,PS2,1/31/2018,17:13:01,NA,PSScene,"[[[-78.84677401220635, 34.85237199948856], [-78.88790017108803, 34.820430811813665], [-78.76460585106642, 34.712912310461064], [-78.72372716922797, 34.74499078559706], [-78.84677401220635, 34.85237199948856]]]","[[-78.84677401220635, 34.85237199948856], [-78.88790017108803, 34.820430811813665], [-78.76460585106642, 34.712912310461064], [-78.72372716922797, 34.74499078559706], [-78.84677401220635, 34.85237199948856]]","POLYGON ((-78.84677401220635 34.85237199948856, -78.88790017108803 34.820430811813665, -78.76460585106642 34.712912310461064, -78.72372716922797 34.74499078559706, -78.84677401220635 34.85237199948856))",2.424728398
61,20180131_171302_1_0c24,1128794,PS2,1/31/2018,17:13:02,NA,PSScene,"[[[-78.81075006406171, 34.880110797820144], [-78.85190771489967, 34.84819216946357], [-78.72864367932478, 34.740613852534764], [-78.68773472123662, 34.77267990475191], [-78.81075006406171, 34.880110797820144]]]","[[-78.81075006406171, 34.880110797820144], [-78.85190771489967, 34.84819216946357], [-78.72864367932478, 34.740613852534764], [-78.68773472123662, 34.77267990475191], [-78.81075006406171, 34.880110797820144]]","POLYGON ((-78.81075006406171 34.880110797820144, -78.85190771489967 34.84819216946357, -78.72864367932478 34.740613852534764, -78.68773472123662 34.77267990475191, -78.81075006406171 34.880110797820144))",100
62,20180131_155306_0f4a,1129743,PS2,1/31/2018,15:53:06,NA,PSScene,"[[[-78.98587477126273, 34.81969871233005], [-78.96884201168183, 34.75011166417485], [-78.7078787523617, 34.793976298382084], [-78.72521954619546, 34.86354036293387], [-78.98587477126273, 34.81969871233005]]]","[[-78.98587477126273, 34.81969871233005], [-78.96884201168183, 34.75011166417485], [-78.7078787523617, 34.793976298382084], [-78.72521954619546, 34.86354036293387], [-78.98587477126273, 34.81969871233005]]","POLYGON ((-78.98587477126273 34.81969871233005, -78.96884201168183 34.75011166417485, -78.7078787523617 34.793976298382084, -78.72521954619546 34.86354036293387, -78.98587477126273 34.81969871233005))",100
63,20180130_152208_100e,1125727,PS2,1/30/2018,15:22:08,NA,PSScene,"[[[-79.082391419726, 34.943066258163306], [-79.1012075906752, 34.870807766649364], [-78.82556888787937, 34.8223670178267], [-78.80703668980662, 34.89456061613587], [-79.082391419726, 34.943066258163306]]]","[[-79.082391419726, 34.943066258163306], [-79.1012075906752, 34.870807766649364], [-78.82556888787937, 34.8223670178267], [-78.80703668980662, 34.89456061613587], [-79.082391419726, 34.943066258163306]]","POLYGON ((-79.082391419726 34.943066258163306, -79.1012075906752 34.870807766649364, -78.82556888787937 34.8223670178267, -78.80703668980662 34.89456061613587, -79.082391419726 34.943066258163306))",53.72966649
64,20180125_152420_0e0f,1110161,PS2,1/25/2018,15:24:20,NA,PSScene,"[[[-79.05973344084555, 34.89427933622448], [-79.07935303902163, 34.82015357260141], [-78.80275254853085, 34.770843592047726], [-78.78346572610548, 34.84508029320275], [-79.05973344084555, 34.89427933622448]]]","[[-79.05973344084555, 34.89427933622448], [-79.07935303902163, 34.82015357260141], [-78.80275254853085, 34.770843592047726], [-78.78346572610548, 34.84508029320275], [-79.05973344084555, 34.89427933622448]]","POLYGON ((-79.05973344084555 34.89427933622448, -79.07935303902163 34.82015357260141, -78.80275254853085 34.770843592047726, -78.78346572610548 34.84508029320275, -79.05973344084555 34.89427933622448))",100
65,20180125_155420_0f1a,1110004,PS2,1/25/2018,15:54:20,NA,PSScene,"[[[-79.08313001745914, 34.85753953424592], [-79.06608031338014, 34.787843078096074], [-78.80460245002071, 34.83176266485558], [-78.82200381302037, 34.90141372994755], [-79.08313001745914, 34.85753953424592]]]","[[-79.08313001745914, 34.85753953424592], [-79.06608031338014, 34.787843078096074], [-78.80460245002071, 34.83176266485558], [-78.82200381302037, 34.90141372994755], [-79.08313001745914, 34.85753953424592]]","POLYGON ((-79.08313001745914 34.85753953424592, -79.06608031338014 34.787843078096074, -78.80460245002071 34.83176266485558, -78.82200381302037 34.90141372994755, -79.08313001745914 34.85753953424592))",100
66,20180125_155420_1_0f1a,1110004,PS2,1/25/2018,15:54:20,NA,PSScene,"[[[-79.06745497516164, 34.79737891010432], [-79.05042298005934, 34.72767457710509], [-78.78914828445558, 34.771604190252745], [-78.8065453811084, 34.84128557707767], [-79.06745497516164, 34.79737891010432]]]","[[-79.06745497516164, 34.79737891010432], [-79.05042298005934, 34.72767457710509], [-78.78914828445558, 34.771604190252745], [-78.8065453811084, 34.84128557707767], [-79.06745497516164, 34.79737891010432]]","POLYGON ((-79.06745497516164 34.79737891010432, -79.05042298005934 34.72767457710509, -78.78914828445558 34.771604190252745, -78.8065453811084 34.84128557707767, -79.06745497516164 34.79737891010432))",100
67,20180124_155356_0f2a,1106061,PS2,1/24/2018,15:53:56,NA,PSScene,"[[[-78.90532109684227, 34.89100326730033], [-78.88804368869859, 34.82122309652919], [-78.62610595668711, 34.86567647568185], [-78.64369475427814, 34.93540975229369], [-78.90532109684227, 34.89100326730033]]]","[[-78.90532109684227, 34.89100326730033], [-78.88804368869859, 34.82122309652919], [-78.62610595668711, 34.86567647568185], [-78.64369475427814, 34.93540975229369], [-78.90532109684227, 34.89100326730033]]","POLYGON ((-78.90532109684227 34.89100326730033, -78.88804368869859 34.82122309652919, -78.62610595668711 34.86567647568185, -78.64369475427814 34.93540975229369, -78.90532109684227 34.89100326730033))",81.40164008
68,20180124_155355_0f2a,1106061,PS2,1/24/2018,15:53:55,NA,PSScene,"[[[-78.88992474654235, 34.82941964504107], [-78.87262532791279, 34.759643834621585], [-78.61090466004511, 34.80418182551055], [-78.62851914033578, 34.873911115998624], [-78.88992474654235, 34.82941964504107]]]","[[-78.88992474654235, 34.82941964504107], [-78.87262532791279, 34.759643834621585], [-78.61090466004511, 34.80418182551055], [-78.62851914033578, 34.873911115998624], [-78.88992474654235, 34.82941964504107]]","POLYGON ((-78.88992474654235 34.82941964504107, -78.87262532791279 34.759643834621585, -78.61090466004511 34.80418182551055, -78.62851914033578 34.873911115998624, -78.88992474654235 34.82941964504107))",100
69,20180124_203209_0c37,1106378,PS2,1/24/2018,20:32:09,NA,PSScene,"[[[-78.85815596759596, 34.913178250098134], [-78.90151878070569, 34.879533141561794], [-78.77038402672028, 34.7653932063792], [-78.72727524050042, 34.79922600194603], [-78.85815596759596, 34.913178250098134]]]","[[-78.85815596759596, 34.913178250098134], [-78.90151878070569, 34.879533141561794], [-78.77038402672028, 34.7653932063792], [-78.72727524050042, 34.79922600194603], [-78.85815596759596, 34.913178250098134]]","POLYGON ((-78.85815596759596 34.913178250098134, -78.90151878070569 34.879533141561794, -78.77038402672028 34.7653932063792, -78.72727524050042 34.79922600194603, -78.85815596759596 34.913178250098134))",100
70,20180124_152031_103d,1106496,PS2,1/24/2018,15:20:31,NA,PSScene,"[[[-78.90777823076516, 34.857294357504735], [-78.92661228656144, 34.783930802540795], [-78.65125187266372, 34.73623018953895], [-78.63279809078574, 34.80944574841153], [-78.90777823076516, 34.857294357504735]]]","[[-78.90777823076516, 34.857294357504735], [-78.92661228656144, 34.783930802540795], [-78.65125187266372, 34.73623018953895], [-78.63279809078574, 34.80944574841153], [-78.90777823076516, 34.857294357504735]]","POLYGON ((-78.90777823076516 34.857294357504735, -78.92661228656144 34.783930802540795, -78.65125187266372 34.73623018953895, -78.63279809078574 34.80944574841153, -78.90777823076516 34.857294357504735))",100
71,20180124_152030_103d,1106496,PS2,1/24/2018,15:20:30,NA,PSScene,"[[[-78.89059782086656, 34.923274175470844], [-78.9094715992873, 34.849930885964284], [-78.63389982092146, 34.80219261357007], [-78.61541076696895, 34.87537861892125], [-78.89059782086656, 34.923274175470844]]]","[[-78.89059782086656, 34.923274175470844], [-78.9094715992873, 34.849930885964284], [-78.63389982092146, 34.80219261357007], [-78.61541076696895, 34.87537861892125], [-78.89059782086656, 34.923274175470844]]","POLYGON ((-78.89059782086656 34.923274175470844, -78.9094715992873 34.849930885964284, -78.63389982092146 34.80219261357007, -78.61541076696895 34.87537861892125, -78.89059782086656 34.923274175470844))",24.55648549
72,20180121_155448_1051,1096459,PS2,1/21/2018,15:54:48,NA,PSScene,"[[[-79.00421078805769, 34.833195305202864], [-78.98735858398149, 34.76397635876451], [-78.72783643504037, 34.80742447369485], [-78.74501756973966, 34.87655282238583], [-79.00421078805769, 34.833195305202864]]]","[[-79.00421078805769, 34.833195305202864], [-78.98735858398149, 34.76397635876451], [-78.72783643504037, 34.80742447369485], [-78.74501756973966, 34.87655282238583], [-79.00421078805769, 34.833195305202864]]","POLYGON ((-79.00421078805769 34.833195305202864, -78.98735858398149 34.76397635876451, -78.72783643504037 34.80742447369485, -78.74501756973966 34.87655282238583, -79.00421078805769 34.833195305202864))",100
73,20180121_204929_0c19,1096731,PS2,1/21/2018,20:49:29,NA,PSScene,"[[[-78.73114938415385, 34.738936358425946], [-78.69328984577103, 34.768659527430955], [-78.80776087550925, 34.86719566964233], [-78.8454163773035, 34.83727915111259], [-78.73114938415385, 34.738936358425946]]]","[[-78.73114938415385, 34.738936358425946], [-78.69328984577103, 34.768659527430955], [-78.80776087550925, 34.86719566964233], [-78.8454163773035, 34.83727915111259], [-78.73114938415385, 34.738936358425946]]","POLYGON ((-78.73114938415385 34.738936358425946, -78.69328984577103 34.768659527430955, -78.80776087550925 34.86719566964233, -78.8454163773035 34.83727915111259, -78.73114938415385 34.738936358425946))",100
74,20180120_152206_0f42,1093378,PS2,1/20/2018,15:22:06,NA,PSScene,"[[[-78.96937446903443, 34.866175524317256], [-78.98843768397968, 34.79368475088689], [-78.71606347765311, 34.7454564482338], [-78.69736109868559, 34.818037190989], [-78.96937446903443, 34.866175524317256]]]","[[-78.96937446903443, 34.866175524317256], [-78.98843768397968, 34.79368475088689], [-78.71606347765311, 34.7454564482338], [-78.69736109868559, 34.818037190989], [-78.96937446903443, 34.866175524317256]]","POLYGON ((-78.96937446903443 34.866175524317256, -78.98843768397968 34.79368475088689, -78.71606347765311 34.7454564482338, -78.69736109868559 34.818037190989, -78.96937446903443 34.866175524317256))",100
75,20180120_152205_0f42,1093378,PS2,1/20/2018,15:22:05,NA,PSScene,"[[[-78.95198673052265, 34.93253767132231], [-78.97104948854138, 34.860055183887646], [-78.69848450433801, 34.81182068693808], [-78.67974003472956, 34.88438927849591], [-78.95198673052265, 34.93253767132231]]]","[[-78.95198673052265, 34.93253767132231], [-78.97104948854138, 34.860055183887646], [-78.69848450433801, 34.81182068693808], [-78.67974003472956, 34.88438927849591], [-78.95198673052265, 34.93253767132231]]","POLYGON ((-78.95198673052265 34.93253767132231, -78.97104948854138 34.860055183887646, -78.69848450433801 34.81182068693808, -78.67974003472956 34.88438927849591, -78.95198673052265 34.93253767132231))",48.95747197
76,20180119_152200_0f25,1089668,PS2,1/19/2018,15:22:00,NA,PSScene,"[[[-79.0086052631265, 34.91718201030926], [-79.02726748637126, 34.8458294624693], [-78.75501708494336, 34.797947495529414], [-78.73669836273243, 34.86933978756508], [-79.0086052631265, 34.91718201030926]]]","[[-79.0086052631265, 34.91718201030926], [-79.02726748637126, 34.8458294624693], [-78.75501708494336, 34.797947495529414], [-78.73669836273243, 34.86933978756508], [-79.0086052631265, 34.91718201030926]]","POLYGON ((-79.0086052631265 34.91718201030926, -79.02726748637126 34.8458294624693, -78.75501708494336 34.797947495529414, -78.73669836273243 34.86933978756508, -79.0086052631265 34.91718201030926))",100
77,20180116_152214_0f22,1080935,PS2,1/16/2018,15:22:14,NA,PSScene,"[[[-79.03545566331331, 34.89251936689883], [-79.05479344199868, 34.819544717375685], [-78.78045919926774, 34.770577278403344], [-78.7614379401303, 34.84366654208572], [-79.03545566331331, 34.89251936689883]]]","[[-79.03545566331331, 34.89251936689883], [-79.05479344199868, 34.819544717375685], [-78.78045919926774, 34.770577278403344], [-78.7614379401303, 34.84366654208572], [-79.03545566331331, 34.89251936689883]]","POLYGON ((-79.03545566331331 34.89251936689883, -79.05479344199868 34.819544717375685, -78.78045919926774 34.770577278403344, -78.7614379401303 34.84366654208572, -79.03545566331331 34.89251936689883))",100
78,20180115_152103_103b,1075933,PS2,1/15/2018,15:21:03,NA,PSScene,"[[[-78.92665408097614, 34.87418887360527], [-78.94581502341023, 34.801177226869136], [-78.67159486357544, 34.75262661578014], [-78.65275406560188, 34.82568868431118], [-78.92665408097614, 34.87418887360527]]]","[[-78.92665408097614, 34.87418887360527], [-78.94581502341023, 34.801177226869136], [-78.67159486357544, 34.75262661578014], [-78.65275406560188, 34.82568868431118], [-78.92665408097614, 34.87418887360527]]","POLYGON ((-78.92665408097614 34.87418887360527, -78.94581502341023 34.801177226869136, -78.67159486357544 34.75262661578014, -78.65275406560188 34.82568868431118, -78.92665408097614 34.87418887360527))",100
79,20180114_152054_1038,1072100,PS2,1/14/2018,15:20:54,NA,PSScene,"[[[-78.97213900794002, 34.932453676813516], [-78.99128919642848, 34.85909068718964], [-78.71559776042747, 34.810631088768545], [-78.69680726409366, 34.883928513305975], [-78.97213900794002, 34.932453676813516]]]","[[-78.97213900794002, 34.932453676813516], [-78.99128919642848, 34.85909068718964], [-78.71559776042747, 34.810631088768545], [-78.69680726409366, 34.883928513305975], [-78.97213900794002, 34.932453676813516]]","POLYGON ((-78.97213900794002 34.932453676813516, -78.99128919642848 34.85909068718964, -78.71559776042747 34.810631088768545, -78.69680726409366 34.883928513305975, -78.97213900794002 34.932453676813516))",100
80,20180114_152055_1038,1072100,PS2,1/14/2018,15:20:55,NA,PSScene,"[[[-78.98874748799753, 34.86677185736158], [-79.00789429270934, 34.79340509661353], [-78.73239408847076, 34.744952035786646], [-78.71363970420202, 34.818261134993], [-78.98874748799753, 34.86677185736158]]]","[[-78.98874748799753, 34.86677185736158], [-79.00789429270934, 34.79340509661353], [-78.73239408847076, 34.744952035786646], [-78.71363970420202, 34.818261134993], [-78.98874748799753, 34.86677185736158]]","POLYGON ((-78.98874748799753 34.86677185736158, -79.00789429270934 34.79340509661353, -78.73239408847076 34.744952035786646, -78.71363970420202 34.818261134993, -78.98874748799753 34.86677185736158))",100
81,20180109_155633_1049,1055174,PS2,1/9/2018,15:56:33,NA,PSScene,"[[[-78.90548133107494, 34.8353583537733], [-78.8889338476669, 34.767035334217674], [-78.63261025600521, 34.80971376872265], [-78.64950476918776, 34.87799580821788], [-78.90548133107494, 34.8353583537733]]]","[[-78.90548133107494, 34.8353583537733], [-78.8889338476669, 34.767035334217674], [-78.63261025600521, 34.80971376872265], [-78.64950476918776, 34.87799580821788], [-78.90548133107494, 34.8353583537733]]","POLYGON ((-78.90548133107494 34.8353583537733, -78.8889338476669 34.767035334217674, -78.63261025600521 34.80971376872265, -78.64950476918776 34.87799580821788, -78.90548133107494 34.8353583537733))",100
82,20180109_152234_0e19,1056239,PS2,1/9/2018,15:22:34,NA,PSScene,"[[[-78.9777183611588, 34.914989081703716], [-78.99690774812623, 34.84190260198053], [-78.72044132207137, 34.79306525104714], [-78.70157821105714, 34.866277691535764], [-78.9777183611588, 34.914989081703716]]]","[[-78.9777183611588, 34.914989081703716], [-78.99690774812623, 34.84190260198053], [-78.72044132207137, 34.79306525104714], [-78.70157821105714, 34.866277691535764], [-78.9777183611588, 34.914989081703716]]","POLYGON ((-78.9777183611588 34.914989081703716, -78.99690774812623 34.84190260198053, -78.72044132207137 34.79306525104714, -78.70157821105714 34.866277691535764, -78.9777183611588 34.914989081703716))",100
83,20180108_152019_101f,1052836,PS2,1/8/2018,15:20:19,NA,PSScene,"[[[-78.85760377006588, 34.862926619278674], [-78.8766536132518, 34.79015608362492], [-78.6033823747467, 34.74186362103371], [-78.58463538672466, 34.81466931426485], [-78.85760377006588, 34.862926619278674]]]","[[-78.85760377006588, 34.862926619278674], [-78.8766536132518, 34.79015608362492], [-78.6033823747467, 34.74186362103371], [-78.58463538672466, 34.81466931426485], [-78.85760377006588, 34.862926619278674]]","POLYGON ((-78.85760377006588 34.862926619278674, -78.8766536132518 34.79015608362492, -78.6033823747467 34.74186362103371, -78.58463538672466 34.81466931426485, -78.85760377006588 34.862926619278674))",100
84,20180107_152106_1022,1049667,PS2,1/7/2018,15:21:06,NA,PSScene,"[[[-78.89470750583347, 34.85454499425519], [-78.91385920857672, 34.781760197102265], [-78.63828567466106, 34.732846809348636], [-78.61944431858072, 34.80575884736249], [-78.89470750583347, 34.85454499425519]]]","[[-78.89470750583347, 34.85454499425519], [-78.91385920857672, 34.781760197102265], [-78.63828567466106, 34.732846809348636], [-78.61944431858072, 34.80575884736249], [-78.89470750583347, 34.85454499425519]]","POLYGON ((-78.89470750583347 34.85454499425519, -78.91385920857672 34.781760197102265, -78.63828567466106 34.732846809348636, -78.61944431858072 34.80575884736249, -78.89470750583347 34.85454499425519))",100
85,20180106_155723_1020,1051577,PS2,1/6/2018,15:57:23,NA,PSScene,"[[[-78.9814878618554, 34.84607636163588], [-78.96475479400571, 34.778281950046406], [-78.70912638800937, 34.821562389958224], [-78.72618015105046, 34.889414479323264], [-78.9814878618554, 34.84607636163588]]]","[[-78.9814878618554, 34.84607636163588], [-78.96475479400571, 34.778281950046406], [-78.70912638800937, 34.821562389958224], [-78.72618015105046, 34.889414479323264], [-78.9814878618554, 34.84607636163588]]","POLYGON ((-78.9814878618554 34.84607636163588, -78.96475479400571 34.778281950046406, -78.70912638800937 34.821562389958224, -78.72618015105046 34.889414479323264, -78.9814878618554 34.84607636163588))",100
86,20180106_152142_0e0e,1044753,PS2,1/6/2018,15:21:42,NA,PSScene,"[[[-78.83616324413042, 34.851136301189385], [-78.85565829847062, 34.777484399035224], [-78.5809605460961, 34.7284877977704], [-78.5617920235585, 34.802246434737285], [-78.83616324413042, 34.851136301189385]]]","[[-78.83616324413042, 34.851136301189385], [-78.85565829847062, 34.777484399035224], [-78.5809605460961, 34.7284877977704], [-78.5617920235585, 34.802246434737285], [-78.83616324413042, 34.851136301189385]]","POLYGON ((-78.83616324413042 34.851136301189385, -78.85565829847062 34.777484399035224, -78.5809605460961 34.7284877977704, -78.5617920235585 34.802246434737285, -78.83616324413042 34.851136301189385))",100
87,20180105_152117_101e,1042452,PS2,1/5/2018,15:21:17,NA,PSScene,"[[[-79.00459311183926, 34.90456455085414], [-79.02387032949302, 34.83130399882152], [-78.74639652963428, 34.78205046857002], [-78.72744134128604, 34.8554012280575], [-79.00459311183926, 34.90456455085414]]]","[[-79.00459311183926, 34.90456455085414], [-79.02387032949302, 34.83130399882152], [-78.74639652963428, 34.78205046857002], [-78.72744134128604, 34.8554012280575], [-79.00459311183926, 34.90456455085414]]","POLYGON ((-79.00459311183926 34.90456455085414, -79.02387032949302 34.83130399882152, -78.74639652963428 34.78205046857002, -78.72744134128604 34.8554012280575, -79.00459311183926 34.90456455085414))",100
0,20180625_152709_1009,1524324,PS2,6/25/2018,15:27:09,0,PSScene,"[[[-78.9912565404435, 34.87161738616701], [-79.01084795883156, 34.796845397736774], [-78.73073440424885, 34.747295865324176], [-78.71141232065796, 34.82214222039835], [-78.9912565404435, 34.87161738616701]]]","[[-78.9912565404435, 34.87161738616701], [-79.01084795883156, 34.796845397736774], [-78.73073440424885, 34.747295865324176], [-78.71141232065796, 34.82214222039835], [-78.9912565404435, 34.87161738616701]]","POLYGON ((-78.9912565404435 34.87161738616701, -79.01084795883156 34.796845397736774, -78.73073440424885 34.747295865324176, -78.71141232065796 34.82214222039835, -78.9912565404435 34.87161738616701))",100
1,20180625_152708_1009,1524324,PS2,6/25/2018,15:27:08,0,PSScene,"[[[-78.97405284902108, 34.938358723568214], [-78.99364692322648, 34.86358704920499], [-78.71329143823709, 34.81408697706352], [-78.69397216768785, 34.88893549395928], [-78.97405284902108, 34.938358723568214]]]","[[-78.97405284902108, 34.938358723568214], [-78.99364692322648, 34.86358704920499], [-78.71329143823709, 34.81408697706352], [-78.69397216768785, 34.88893549395928], [-78.97405284902108, 34.938358723568214]]","POLYGON ((-78.97405284902108 34.938358723568214, -78.99364692322648 34.86358704920499, -78.71329143823709 34.81408697706352, -78.69397216768785 34.88893549395928, -78.97405284902108 34.938358723568214))",58.11052773
2,20180806_152758_1035,1612521,PS2,8/6/2018,15:27:58,0,PSScene,"[[[-78.83884630673249, 34.88363096116117], [-78.85761484153448, 34.8113866781668], [-78.58496533442731, 34.76360338610492], [-78.56648581926729, 34.83587991615958], [-78.83884630673249, 34.88363096116117]]]","[[-78.83884630673249, 34.88363096116117], [-78.85761484153448, 34.8113866781668], [-78.58496533442731, 34.76360338610492], [-78.56648581926729, 34.83587991615958], [-78.83884630673249, 34.88363096116117]]","POLYGON ((-78.83884630673249 34.88363096116117, -78.85761484153448 34.8113866781668, -78.58496533442731 34.76360338610492, -78.56648581926729 34.83587991615958, -78.83884630673249 34.88363096116117))",100
3,20181226_150613_0f2e,1967925,PS2,12/26/2018,15:06:13,0,PSScene,"[[[-78.91327189471417, 34.8365816235453], [-78.90124497944235, 34.768896830561886], [-78.64806950107833, 34.799863469850386], [-78.660374805698, 34.867518105374906], [-78.91327189471417, 34.8365816235453]]]","[[-78.91327189471417, 34.8365816235453], [-78.90124497944235, 34.768896830561886], [-78.64806950107833, 34.799863469850386], [-78.660374805698, 34.867518105374906], [-78.91327189471417, 34.8365816235453]]","POLYGON ((-78.91327189471417 34.8365816235453, -78.90124497944235 34.768896830561886, -78.64806950107833 34.799863469850386, -78.660374805698 34.867518105374906, -78.91327189471417 34.8365816235453))",100
